"CONTEXT","INFERENCE","LABEL","CONTEXT_FROM","INFERENCE_FROM"
"John and Paul found a worm on the walking path","The worm is an invertebrate .","5","roc","joci"
"A grizzly postman carries a flower and mail to deliver .","The postman is a combatant .","2","snli","joci"
"A man with curly hair and glasses tries to tug a large rope on a boat to no avail.","a sailor tries to tug a large rope on a boat to no avail .","3","snli","snli"
"Seven people got stuck in an elevator when the power went out","Two men were trying to pry the door open when they heard gunshots.","3","roc","roc"
"Nate was working on a batch of low paying tasks","After a while, he came across a CAPTCHA.","5","roc","roc"
"I drove for 15 minutes to get to the store","When I got there I couldn't remember what I had come for.","4","roc","roc"
"A man is wearing a blue shirt that is rolled up above his abdomen.","A man has a rolled up shirt.","5","snli","snli"
"The older man in a dark blue shirt is using tools to make glass before putting them into a heated kiln .","People load the kiln .","4","snli","joci"
"Grand mother , mother and children are enjoying their evening time .","The mother is a parent .","5","snli","joci"
"Sitting on a doorstep talking.","people are talking .","5","snli","seq2seq"
"Monica 's favorite stuffed animal was Spots","A person kills the animal .","1","roc","joci"
"Fred needs a blazer for a special event that his friends are planning","The blazer is a jacket .","5","roc","joci"
"A dog runs along the short at a beach.","a dog runs along the beach .","5","snli","seq2seq"
"I thought about going dancing last weekend","After picking the venue, I got my clothes together and sat out.","4","roc","roc"
"A woman holding a green bad taking a picture of another woman on a bridge.","the woman is taking a picture","5","snli","seq2seq"
"The girl came across an unfamiliar word in her textbook.","She looked the term up in the dictionary.","4","copa","copa"
"a little girl in a walker that looks like she may be up to no good .","The walker is a framework .","5","snli","joci"
"woman and little girl wearing red in Asian area","A girl is wearing red","5","snli","snli"
"A Indian women displaying her cultural heritage with painted red fingers and an extravagant head piece.","A woman dresses in western fashion, with unadorned fingers and head.","1","snli","snli"
"A man in shorts and a plaid shirt is walking across the sun 's reflection on the floor .","The reflection is likeness .","4","snli","joci"
"One African-American male in a white and red T-shirt is using an electric shaver to shave another , seated , African-American male 's head .","The shaver is a man .","5","snli","joci"
"A muslim in a turban on his knees praying .","The muslim is a religious person .","5","snli","joci"
"I put my hands under the running faucet.","The soap rinsed off my hands.","4","copa","copa"
"Debbie was pretty fed up with her french press coffee maker","The maker is a creator .","5","roc","joci"
"A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .","The broom is a cleaning implement .","5","snli","joci"
"I was lost.","I counted my cash.","3","copa","copa"
"The man's watch was broken.","He waited at the bus stop.","3","copa","copa"
"A protester in a cowboy gear holds up a sign that says , '' Dont tax me bro ! ''","The tax fails .","3","snli","joci"
"I went to the hospital to run a few blood tests","The worker at the front desk called me into the office.","3","roc","roc"
"A coach and referee have a discussion while a baseball game is in progress .","The discussion is terrific .","3","snli","joci"
"There was a squirrel across the street","It was climbing up and down the tree.","5","roc","roc"
"A friend and myself decided to go bird watching","I picked him up and we drove to a local park.","3","roc","roc"
"A black dog leaps from the water near a wooded shoreline","A person crosses the shoreline .","3","snli","joci"
"Meg 's mom was distraught when she found lice in her daughter 's hair","Out of spite, Meg said she caught the lice from a girl she despised.","3","roc","roc"
"A young man holding a beer bottle and a cigarette splashes fluid on charcoal in a grill.","The man is cooking for others.","3","snli","snli"
"A young woman is flirting with her handsome date.","The young girl has liked this boy since she first saw him, but was only brave enough to ask him out recently.","3","snli","snli"
"The crib for Shelby 's baby arrived at the door","She brought it inside and opened it.","5","roc","roc"
"A man in orange holds soup ladles and makes a funny face .","The face is a countenance .","1","snli","joci"
"It was a busy day at the office","The copier was broken.","3","roc","roc"
"New sport is being played to show appreciation to the kids who can not walk.","People are playing football without gear.","1","snli","snli"
"The economy is shacking and affecting China.","China is being affected by its economy.","5","snli","snli"
"An eagle sits in a bare tree that is just starting to bud.","The eagle is outdoors.","4","snli","snli"
"A man wearing a plaid shirt, gray vest, and brown tie takes orange punch from a silver punch bowel.","a man drinks orange punch directly from a punch bowel","2","snli","snli"
"A female cowgirl riding a horse, at a ranch.","The girl is delivering a foal.","1","snli","snli"
"A man sitting down at a bus stop with a Calvin Klein ad behind him.","A man is sitting down waiting for his wife.","3","snli","snli"
"The wind blew through the open window.","The curtains shuddered.","4","copa","copa"
"A man cleans up the remains of a house with a rake while others work in the background .","A person looks like the remains .","1","snli","joci"
"A young child sits in a highchair and draws colorful squiggles on a white piece of paper.","a child is sitting .","5","snli","seq2seq"
"It looks as though there was a beauty competition of some sort sponsored by the Chinese as evidenced by the stuffed panda bears.","The winner was from Shanghai.","3","snli","snli"
"The seamstress pushed the threaded needle into the fabric.","The thread went through the fabric.","5","copa","copa"
"A young woman leads a group of French youth in a protest chant against Sarkozy","The woman is holding a sign.","3","snli","snli"
"The clock stopped ticking.","The clock showed the wrong time.","5","copa","copa"
"A radio host having his picture taken.","he is the host of 99.5fm","2","snli","snli"
"Two comedians performing a routine.","Two funny comedians performing","5","snli","snli"
"An older man in a gray sweater and blue pants is shaping something in a forge on an anvil .","The forge is a furnace .","5","snli","joci"
"Maude fell down the stairs and broke her ankle","He carried her to the car, and to the hospital they went.","3","roc","roc"
"A brown-haired woman wearing spectacles crafts jewelery by hand using a desk lamp.","Someone is working on a bracelet.","3","snli","snli"
"Two individuals use a photo kiosk","A blast destroys the kiosk .","2","snli","joci"
"Lucy got her nails professionally done","She loved the way they looked.","4","roc","roc"
"Bill worked at a bank as a loan officer","Bank auditors discovered the discrepancy.","3","roc","roc"
"A plat is sitting on the floor next to a blond girl.","red head girl is on a swing","1","snli","snli"
"Tim went to the political rally ready to stir up some excitement","The excitement is an emotional arousal .","5","roc","joci"
"I was jogging up a hill at a leisurely pace","The hill is a structure .","4","roc","joci"
"A five person Brass band is seated , semi-circularly , in a white alcove of a church that has stained glass windows .","The alcove is emptied .","3","snli","joci"
"Today I tried to make a new cookie recipe","My grandmother and I used to make cookies together all the time.","3","roc","roc"
"A man and a woman that is holding flowers smile in the sunlight .","The sunlight is a light .","5","snli","joci"
"A city held a special election for a bond initiative","They wanted to raise money to build a new high school.","4","roc","roc"
"The child skinned his knee.","His mother put a bandage on the wound.","4","copa","copa"
"When it did n't rain much we would turn on the hose in the back yard","Late at night in the dark we would search the yard with a flashlight.","3","roc","roc"
"A man wearing a red shirt and a white and dark cap is standing underneath a canopy outside a building.","A man standing outside a building.","5","snli","snli"
"Ben heard a whole bunch of family members talking about him","He became extremely mad and approached them.","3","roc","roc"
"Chelsea hurt her fingers playing basketball","She was really scared to go to the doctor.","3","roc","roc"
"Brian wanted to attend a jazz performance","He gathered some friends and attended it.","4","roc","roc"
"It was our first family cruise","A person goes on the cruise .","5","roc","joci"
"I was at the mall yesterday to find the perfect dress","As soon as I walked into Ann Taylor my eyes found the perfect one.","3","roc","roc"
"A drummer is sitting behind a drum kit near to someone playing a guitar.","Two people are near their instruments.","5","snli","snli"
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab, another red crustacean held in his hand while another man sits and holds some food behind him.","The man is wearing a bib, holding a hammer, and preparing to smash a crab while his friend stands behind him.","5","snli","snli"
"With wide eyes she told me that the biopsy came back positive","The two of us developed a plan for her to beat this.","4","roc","roc"
"Woman makes a face while playing the board game Clue.","Person makes a face while playing a board game","5","snli","snli"
"A clerk in a convenience store asks a customer buying alcohol for his age and identification.","A clerk in a convenience store asks a customer","5","snli","snli"
"A man and a little boy who is holding hammer are making something out of the wooden boards .","The hammer is a hand tool .","5","snli","joci"
"A black man wearing a safety vest and hard hat is dumpster diving and appears to be holding a piece of electrical conduit.","A man is dumpster diving for his company due to a mistake.","3","snli","snli"
"A young woman wearing pink and blue is performing gymnastic feats while twirling a ribbon .","A person repeats the feats .","3","snli","joci"
"A young boy poses behind the netting of an enclosed play area while three other children play .","The netting is a net .","4","snli","joci"
"A high school chemistry lab experiments.","the turkey is waiting for some juicy batches on mturkgrind","0","snli","snli"
"A student uses old planer to work wood in a shop.","A student is making a bird house in the shop.","3","snli","snli"
"A man singing on stage with his eyes closed .","The eyes are closed .","5","snli","joci"
"The students sitting on the grass are eating a lunch from a red backpack .","A person will have the lunch .","5","snli","joci"
"A man is wearing a white habit with black polka dots and smoking a cigarette .","The habit is a custom .","4","snli","joci"
"The chair salesman came to town and set up a display","He put 100 chairs in a line on Main Street.","3","roc","roc"
"An olympic contender from China is struggling to lift a barbell.","An olympic contender from China is competing.","5","snli","snli"
"A man standing near a grille with charcoal in it.","A man stands next to a grill.","5","snli","snli"
"A man with gray hair accepts coins in front of a kiosk that has a multitude of fine colored powders in large bowls on display .","The multitude is a gathering .","5","snli","joci"
"The boy squeezed the balloon.","The balloon popped.","3","copa","copa"
"A man wearing a shirt and tie is holding a bottle of alcohol .","A person wears the tie .","5","snli","joci"
"Sarah was excited for the 5K run on Sunday","At night  she ran with her dog.","3","roc","roc"
"three people over a culvert looking into the water beside an alligator caution sign","There are three people looking into the water.","5","snli","snli"
"My ankle was swollen.","I rubbed lotion on it.","3","copa","copa"
"Ronald dropped his toothbrush into the toilet","He promptly threw it away and searched underneath the sink.","5","roc","roc"
"Frankie loved tennis","The tennis are a court game .","5","roc","joci"
"A man is cleaning his yard with a leaf blower.","A man is not cleaning his yard","3","snli","snli"
"I heard that my library had a certain new book that I wanted to read","I went to the library to get the book.","4","roc","roc"
"The terminal is nearly empty, only a few people are there getting to their destination.","The terminal is packed and busy.","1","snli","snli"
"A craftsmen sits, gazing intently at his work as he hammers a chisel at his work in order to carve small details onto the statue.","An artist carves a wooden statue.","3","snli","snli"
"Group counseling session listening to computer .","The session closes .","3","snli","joci"
"My daughter had As in high school","The daughter is married to a son .","3","roc","joci"
"Sally 's job required her to wear headphones all day","She had to quickly purchase a new pair so she could continue working.","4","roc","roc"
"Man in a boat on a lake, surrounded by mountains and forestry.","Man on a fishing boat on a lake, surrounded by mountains and forestry.","4","snli","snli"
"Kelly was playing a soccer match for her University","Her team was expected to win.","5","roc","roc"
"Tim invited his neighbors over for a cookout","A person talks to the neighbors .","5","roc","joci"
"An older man sitting on a blue stool playing a sitar for money, with a young boy sitting on a white sack next to him.","A man is playing a blue sitar","2","snli","snli"
"A man playing the violin in the street .","The man is an adult .","5","snli","joci"
"Adelaide had saved fifty years of National Geographics in her cellar","Her kids were too kind to point out all the mildew on them.","3","roc","roc"
"A woman is wearing black with gold sequins and spangles.","A female is wearing clothes.","5","snli","snli"
"A teenage girl in blue is holding a piece of paper that says , '' Dreams , '' with another person .","The Dreams are a fantasy .","3","snli","joci"
"Alexia was a computer programmer for a living","She felt powerful being a female programmer and loved it.","5","roc","roc"
"Two kids discuss their woes around the dinner table.","kids look troubled, seated at dining table","4","snli","snli"
"A line of men in white uniforms with pale blue flaps on their shoulders as well as some type of gold badge on their chest being scolded by a drill sergeant.","The men in the white uniforms are running across the field.","2","snli","snli"
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off, perhaps for a block party, while onlookers walk behind and listeners are seated in front in lawn chairs.","a man is wearing a weird head wrap while standing next to a group of party-goers next to a blocked street","2","snli","snli"
"A race car on a track has flames shooting from the rear .","The rear is a side .","5","snli","joci"
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .","The bemusement piques .","3","snli","joci"
"Micky needed a present for his girlfriend","The present is a gift .","4","roc","joci"
"I 've set a goal to lose thirty pounds by the end of June","Running has always been a great way for me to get in shape.","5","roc","roc"
"The detective flashed his badge to the police officer.","The police officer confiscated the detective's badge.","2","copa","copa"
"Jamie got her dad 's gun from the top drawer in his room","Confident with her inspection, she went outside with it.","3","roc","roc"
"Two emergency responders are at the scene of an incident.","The emergency responders are not at the incident.","1","snli","snli"
"As photographers, onlookers, and referee observe, two men in fighting gloves and headgear are shown in stop motion photography mid fight and in midair.","people are playing soccer .","2","snli","seq2seq"
"Keith hated washing dishes at his house","The dishes are a container .","3","roc","joci"
"Kim had a favorite pair of pink argyle socks","One day after doing laundry she couldn't find the match.","3","roc","roc"
"A man in a yellow jacket stands in front of a yellow hutch.","The man is wearing black pants.","2","snli","snli"
"It was lunchtime for the kids but - there was a commotion","Charles figured it was probably a fight.","3","roc","roc"
"Katie was making a casserole in home ec class","She had assembled all her ingredients carefully.","4","roc","roc"
"An elderly lady in a brown hooded coat takes a newspaper from a friendly old man with a stack of papers he is distributing in a large foyer.","The old lady tips the paper boy.","1","snli","snli"
"An acoustic guitarist and lead vocalist, electric guitarist, and a keyboardist play a gig at a swanky venue.","The band is taking a break.","2","snli","snli"
"A hotel bellboy is pushing a gold colored metal luggage cart filled with various pieces of luggage outside of a fancy hotel .","A person rushes to the bellboy .","3","snli","joci"
"Hockey player in blue hitting puck .","The hitting is a touch .","5","snli","joci"
"A woman in a green shirt signaling.","The woman is directing traffic.","3","snli","snli"
"Larry always wanted better versions of existing products he had","The versions are a representation .","3","roc","joci"
"Missy wanted puppies to sell","The puppies are used as a weapon .","2","roc","joci"
"After a great performance , these performers bow down in respect of the audience .","The respect is politeness .","5","snli","joci"
"Sam ran through the empty office to his cubicle","He knocked over a stack of papers and tripped to the ground.","3","roc","roc"
"Carlie and Destani went to the store buy a television","The associate covered the various features of several brands.","4","roc","roc"
"A man wearing bright orange construction vest washing down a train with nothing but a long handled scrubber and a wash bucket","The scrubber is a brush .","5","snli","joci"
"Ike 's class was going on a field trip to the Navy submarine","But as soon as he climbed down into it, his chest tightened.","3","roc","roc"
"Tina needed custom shoes for an event she was attending","She went to the louboutin store to get fitted.","3","roc","roc"
"Four men with binoculars look into the distance against a blue sky with wisps of white clouds.","The group of men with binoculars looked into the sky.","5","snli","snli"
"Jerry had an unfortunate case of the sniffles","He would blow his nose.","5","roc","roc"
"A woman wearing a brown scarf and sunglasses, walks through a shopping outlet.","The woman in the brown scarf and sunglasses is walking.","5","snli","snli"
"A sergeant leads his troops in formation inside a large room with lots of flags in the background.","The sergeant is yelling at his people.","3","snli","snli"
"Alex wanted to start living a fit lifestyle","He read all the articles about diet and exercise.","3","roc","roc"
"Race car flies by, in the lead of the pack, closely followed by second and third places!","Race cars flying by with the lead car lapping the last and second to last cars.","3","snli","snli"
"A man about to get into an argument at a local pub.","a man is at a pub .","5","snli","seq2seq"
"An older man with his nipples peirced stands shirtless.","The adult man is looking for a shirt he lost, but is not able to find his shirt.","2","snli","snli"
"The girl pushed herself off the top of the slide.","She glided down the slide.","5","copa","copa"
"Yesterday I went to the salon","The nail artist painted them purple.","3","roc","roc"
"A man next to a bicycle is playing a pan flute .","The flute is a woodwind .","5","snli","joci"
"Larry noticed that his faucet was n't working","He ended up making the problem worse.","3","roc","roc"
"Tom walked into his classroom one morning and saw a new tank","Tom's teacher explained that the turtle was their new pet.","3","roc","roc"
"A newborn boy is lying in an incubator with many tubes attached.","The baby is sick.","4","snli","snli"
"A brown skinny dog is jumping over a tuft of grass on a dirt pathway.","The feral mutt is playing near an abandoned apartment complex.","3","snli","snli"
"Five runners are kneeling at the beginning of a 100-meter race on an indoor track in a stadium full of people .","A person starts from the beginning .","5","snli","joci"
"The dog eyed the juicy steak on the table.","It laid down.","4","copa","copa"
"The man gained weight.","He got his shoes shined.","2","copa","copa"
"A ma is placing a medal over the head of a young man wearing glasses , who has a big smile on his face .","The ma is a current unit .","1","snli","joci"
"A peephole looking through at a man in a blue jumpsuit working","Someone is looking at a workman in blue.","5","snli","snli"
"A band who is performing in front of their many followers.","A band performs in front of a crowd.","5","snli","snli"
"Three dogs run through surf, near rocky outcrop.","Three dogs get wet.","5","snli","snli"
"Topher made a film for his film class","He was very proud of the editing.","4","roc","roc"
"Soccer player putting on moves that you thought could only happen in a video game.","someone is moving .","5","snli","seq2seq"
"A large class of graduates wearing robes and mortarboards is waiting for their diplomas.","The graduates already graduated.","3","snli","snli"
"I got a new kitten","He sniffed around in the litter box before prancing off","4","roc","roc"
"A notice was put up in the town square","It said the town would be split up and separated into two halves.","3","roc","roc"
"A woman in white, wearing a tiara, the beach in the background.","A woman is at the beach for wedding photos..","3","snli","snli"
"Beach goers look at a heart left in the sky by a sky writer.","It is a dreary and cloudy day.","1","snli","snli"
"Lucas volunteered to do a fundraising campaign","He took several kids around the neighborhood to sell chocolate.","3","roc","roc"
"A baseball pitcher pitches a fastball to an on-looking batter, catcher, and Umpire.","A baseball player throws a ball.","5","snli","snli"
"Adelaide had saved fifty years of National Geographics in her cellar","She thought they would be worth a lot of money.","3","roc","roc"
"Miranda and her boyfriend were seeing a movie","The boyfriend is killed .","2","roc","joci"
"A man, standing amongst many people, is wearing a red shirt and a kilt-like ensemble.","A lady wears a skirt that resembles a kilt.","1","snli","snli"
"A man paddled his canoe down stream to a small bridge","At the top he tripped over the railing and fell down.","2","roc","roc"
"Alice wanted to make a cake for her birthday","The cake is a dish .","5","roc","joci"
"Yesterday I started making a pillow","Thankfully when I was done it looked great.","3","roc","roc"
"My friend had an announcement to make","I was sad upon hearing the news.","3","roc","roc"
"At the fall festival there was a big wide bucket","Jill had never bobbed for apples before.","3","roc","roc"
"A homicide detective got a call about a murder","The report was about as grim as any he had ever heard.","4","roc","roc"
"Rednecks throwing knives.","The people are sharpening their knives.","3","snli","snli"
"Lucas volunteered to do a fundraising campaign","The campaign is an operation .","5","roc","joci"
"A dark-haired drummer is playing his set with enthusiasm .","The enthusiasm is a feeling .","5","snli","joci"
"A young girl is lying on some personal belongings, on a cart that is dragged by a horse and a man, on a dirt route.","A young girl is lying down on a cart being dragged by a horse and a man down a road.","5","snli","snli"
"May has an irrational fear of clowns","The fear is an emotion .","5","roc","joci"
"A white wedding style cake topped with white roses sits atop a stainless steel table while a man decorates an egg shaped cake with a scroll pattern in the background .","The pattern is an activity .","5","snli","joci"
"The husband felt guilty about cheating on his wife.","He confessed his infidelity to her.","4","copa","copa"
"I burst into a fit of laughter.","My teeth began to chatter.","2","copa","copa"
"Stew loves libertarian candidates","His favorite is coming to his town to give a speech.","5","roc","roc"
"A male hockey player in a bright purple uniform skates across the ice with a hockey stick and a puck .","The ice is an amphetamine .","1","snli","joci"
"In 1998 we set off fireworks by the pond where we live","Seals are removed from the pond .","1","roc","joci"
"Skier doing a 360 degree flip in the air.","the skier is jumping","5","snli","snli"
"Bill was a bit of an amateur carpenter","He decided to build some chairs for his house.","4","roc","roc"
"Moe flew a kite on a windy day","A person dodges the kite .","3","roc","joci"
"Tyler bought a new stamp with his name on it","He stamped his name on everything he owned.","5","roc","roc"
"A street vendor is adjusting the grill on a bicycle-mounted brazier .","A photograph shows the brazier .","3","snli","joci"
"A crowded sidewalk in the inner city of an Asian country .","The country is a region .","5","snli","joci"
"Illia was doing a history paper on a beverage","She learned how the soda had been sold as a cough remedy.","3","roc","roc"
"A group of fishermen on a boat tied up in a bay , with piles of driftwood near them .","The bay is body of water .","5","snli","joci"
"A man sitting down at a bus stop with a Calvin Klein ad behind him .","The ad is a promotion .","5","snli","joci"
"The white dog is drinking mountain dew in the snow.","The homeless dog is drinking in the snow.","2","snli","snli"
"An African dressmaker puts the finishing touches on a garment while two women watch.","The person from Africa is impressing two women.","4","snli","snli"
"A young child making faces at the camera.","A young girl is making a silly face at the camera.","3","snli","snli"
"Charles ' favorite artist was scheduled to perform at a club","The club is intact .","5","roc","joci"
"I was riding home on a crowded bus one day","A guy tried to start conversation with me but soon realized I'm deaf.","3","roc","roc"
"Roxy 's home is filled with clutter","She knows that she needs to do something about her clutter.","5","roc","roc"
"A man wearing a blue sweatshirt and dark baseball cap is sweeping the floor with others watching .","The cap is a dental appliance .","1","snli","joci"
"Man with green hate and sunglasses on a high up peak","The hate is an emotion .","5","snli","joci"
"Last year this time we - went to NYC to visit our granddaughter","Traffic was so bad we missed our train and took a later one.","5","roc","roc"
"Small blond boy throwing a fit.","Small blond boy throwing a fit because he didn&apos;t get the toy.","3","snli","snli"
"Two best friends embracing their friendship.","Two friends are arguing and discontinuing friendship.","2","snli","snli"
"Dan led a group of students in protest of the school dress code","The protest is held .","5","roc","joci"
"Two people using a water buffalo to cultivate a watery field .","The buffalo is bison .","5","snli","joci"
"While on a walk the other night I heard an owl","The owl is a bird of prey .","5","roc","joci"
"Couples and singles dancing with numbers attached to them.","People eating marshmallows.","2","snli","snli"
"The offender violated parole.","She was sent back to jail.","5","copa","copa"
"Two women and a man sitting down in chairs next to a table with a candle burning .","A person smells the burning .","4","snli","joci"
"People trying out foods from a local bakery at a local potluck.","The people are eating.","5","snli","snli"
"Missy wanted puppies to sell","They put the two dogs together in a room.","3","roc","roc"
"A man in a black shirt, covered in paintball splatter, makes a face.","a man covered in oaintball is emotionless","1","snli","snli"
"Three nordic trekkers on their way through a snowy path on a peaceful day.","Three people are having lunch","2","snli","snli"
"The parents wanted their children to go to college.","They encouraged their children to play outside.","2","copa","copa"
"The student received tutoring.","He cheated on the exam.","2","copa","copa"
"Charles wanted to wrest his share of the family business from Fred","The share is an allotment .","5","roc","joci"
"The monster truck driver eyed the ramp for his next stunt","The landing was rocky and so his truck went tumbling towards fans.","4","roc","roc"
"The manager called me into his office this morning","I was very excited and knew my work with the company was stellar.","3","roc","roc"
"Joseph has been growing a beard for about a year","Finally a friend tells Joseph that his beard looks awful.","4","roc","roc"
"A middle-aged woman with a pink satchel purse walking along a breakwater in a European coastal town.","A middle aged woman with pink satchel purse is running.","2","snli","snli"
"Man in orange shirt thinking while drinking a margarita .","The margarita is banned .","2","snli","joci"
"Man dressed as a gladiator checks his cellphone .","The gladiator is a boxer .","3","snli","joci"
"Jon needed fill up his car tank with gas","The gas are a pedal .","1","roc","joci"
"Cam wanted to see a movie","Sighing, Cam decided to go alone.","3","roc","roc"
"A man is celebrating his victory while smiling and shooting champagne in the air with his teammate .","The victory is expected .","3","snli","joci"
"I 'm tall and most times ca n't find clothes that fit","I learned how to sew my own clothes at the age twelve.","3","roc","roc"
"A nicely dressed woman putting a handful of cotton candy in her mouth in a public square in Europe .","The handful is a containerful .","3","snli","joci"
"An early morning rush hour in the middle of the city.","It was Rush hour in the middle of the city.","5","snli","snli"
"three men are at a party nd playing games.","men at home sleeping","1","snli","snli"
"A recently adopted mixed breed medium sized dog bounds happily around the yard.","A mixed breed dog is happy in the yard.","5","snli","snli"
"A man in a yellow jacket stands in front of a yellow hutch.","The man has his feet on the ground.","5","snli","snli"
"A person wearing jeans and a t-shirt staining handrails on a sunny day.","A person is working near some stairs.","5","snli","snli"
"Several individuals getting together to play the bagpipes and eat some cuisine.","The men are wearing kilts.","3","snli","snli"
"A man eyes a skillet full of food as he walks by .","The skillet roasts mussels .","3","snli","joci"
"The drunk man in the gray shirt is attempting to drill into a keg of beer, while another keg awaits.","The man is drilling the keg so he can drink beer.","5","snli","snli"
"A person dressed in winter clothes poses with a snowman surrounded by snow covered landscape .","The landscape is a scenery .","5","snli","joci"
"Brian wanted to attend a jazz performance","He found the hippest club in town.","3","roc","roc"
"A young brunette wearing purple and black floral stretch pants is attaching her bike to a finch.","The person has red hair.","1","snli","snli"
"A man in a deli is using a meat slicer .","The slicer is a golfer .","1","snli","joci"
"A group of elderly peddlers selling blow up balloons and toys along the side of a street.","The elderly peddlers have already sold everything.","2","snli","snli"
"Women dress in a blue shirt standing next to a man holding a pitchfork he used to spread the hay around as the crowd looks on.","The woman is naked","2","snli","snli"
"Two women wearing aprons and hairnets look at each other while they reach into metal canisters .","The canisters are a container .","5","snli","joci"
"The engine of the airplane was faulty.","The pilot made an error.","2","copa","copa"
"A team of players gather around a coach who welcomes them with appraisal.","The coach is an encouraging person.","5","snli","snli"
"Two hockey players playing offense and defense .","The offense is a transgression .","4","snli","joci"
"Tim was shopping for jeans","And he noticed that there was a sale.","4","roc","roc"
"A trained police dog sits next to his handler in front of the police van .","The handler is killed in an attack .","3","snli","joci"
"A man scuba diving on a coral reef.","A man is scuba diving.","5","snli","snli"
"A black woman wearing an orange shirt is taking a snapshot .","The snapshot is a photograph .","5","snli","joci"
"A bare headed man wearing a dark blue cassock, sandals, and dark blue socks mounts the stone steps leading into a weathered old building.","A man is walking up stairs to go into a courtroom.","3","snli","snli"
"Tom took Sandy to the fourth of July fair","They ate hot dogs, french fries and a lot of cotton candy.","5","roc","roc"
"A young kid breaking a rock with hammer","A young kid breaking doing chores","0","snli","snli"
"The man in camouflage pants telephones 911 for the man in black sneakers who is lying on the ground having a heart attack .","A person understands the attack .","4","snli","joci"
"A girl standing among a crowd gathered outdoors with the flag of Western Sahara and a white banner with inscription in the background.","The crowd is waiting for a ceremony to begin.","3","snli","snli"
"A large ship approaching the dock with two men awaiting its arrival .","The arrival is expected .","5","snli","joci"
