"CONTEXT","HYPOTHESIS","LABEL","CONTEXT_FROM","HYPOTHESIS_FROM","SUBSET"
"A young girl is lying on some personal belongings, on a cart that is dragged by a horse and a man, on a dirt route.","A woman driving a jeep.","1","SNLI-train","SNLI-CONTRADICTION","SNLI"
"An eagle sits in a bare tree that is just starting to bud .","The bud is opened .","4","SNLI-train","AGCI-WK","AGCI"
"A park ranger talking to a tourist .","Authorities hand over the ranger .","2","SNLI-train","AGCI-WK","AGCI"
"A snowboarder is leaping a mogul .","The mogul works in a factory .","2","SNLI-train","AGCI-WK","AGCI"
"A pink and white umbrella conceals the torso and head of a girl standing near a shop window .","The torso is a body part .","5","SNLI-train","AGCI-WK","AGCI"
"A storefront with a sign written in chinese .","The chinese is a sinitic .","5","SNLI-train","AGCI-WK","AGCI"
"Halley knew that her parents had a big surprise in store for her","Her 21st birthday was coming up and she couldn't wait to find out.","3","ROCStories-1st","ROCStories-2nd","ROC"
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states ""tell me why my music sucks"".","a person is playing music with an instrument .","5","SNLI-train","AGCI-NN","AGCI"
"Two men in a school gym setting wearing fencing gear and one lunging deeply at the other to pierce him in the left flank .","The flank is a cut of beef .","2","SNLI-train","AGCI-WK","AGCI"
"The Irish Setter is retrieving a flashlight from the pond .","Nobody stops to think about the flashlight .","3","SNLI-train","AGCI-WK","AGCI"
"A large , black dog is practicing attacking a culprit on a uniformed man .","The culprit is identified .","3","SNLI-train","AGCI-WK","AGCI"
"At the stop-light I - made a turn","The turn is a movement .","5","ROCStories","AGCI-WK","AGCI"
"A young lady wearing a turquoise colored bustier over a black shirt , a black skirt , netted tights , and laced up gloves is sitting next to five other young ladies , most of which are also dressed in black colored fitted clothing .","The bustier is hard currency .","1","SNLI-train","AGCI-WK","AGCI"
"A cheerleading competition and the black squad is making a pyramid.","The cheerleaders are competing.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"Two casually dressed men playing a xylophone and a violin .","A bridge looks like the xylophone .","2","SNLI-train","AGCI-WK","AGCI"
"A brunette female in a blue shirt , wearing sunglasses , gazing at a ram with black fur and curled horns .","The ram is a volatile storage .","1","SNLI-train","AGCI-WK","AGCI"
"A person is preparing to send a piece of paper through a paper shredder .","A mom wants the shredder .","3","SNLI-train","AGCI-WK","AGCI"
"A man high on a tightrope walks and balances .","A government walks the tightrope .","1","SNLI-dev","AGCI-WK","AGCI"
"two people holding red and yellow tennis brackets in front on a fence .","Technicians remove the brackets .","2","SNLI-train","AGCI-WK","AGCI"
"A young boy , dressed in a karate gee and wearing a yellow belt , stands ready to defend himself inside a gym .","The gee hands out flyers .","1","SNLI-train","AGCI-WK","AGCI"
"Small girls sit in benches a circle in a clapboard room - a slightly older girl wearing a white turtleneck sits on the carpet in front of them .","The turtleneck is a jersey .","3","SNLI-train","AGCI-WK","AGCI"
"A man carving an elephant while woodworking .","The woodworking is a trade .","5","SNLI-train","AGCI-WK","AGCI"
"Two young men climb a tree overlooking a rural setting , with one of them out far on a limb and clutching a white helmet .","The overlooking is a topographic point .","3","SNLI-test","AGCI-WK","AGCI"
"A guy is talking to his friend taking a picture of a girl taking shots .","A person begins the shots .","4","SNLI-train","AGCI-WK","AGCI"
"Bill loved to play in the forest","One day, while playing a game, bill got himself lost.","3","ROCStories-1st","ROCStories-2nd","ROC"
"A woman in a green shirt and jeans throws a spear toward a target in the background painted with a carrot across a parking lot","The carrot is a root .","2","SNLI-dev","AGCI-WK","AGCI"
"A woman poses with a minstrel in a city square .","A hole calls the minstrel .","1","SNLI-train","AGCI-WK","AGCI"
"Bill worked in a warehouse","Bill was a great worker.","3","ROCStories-1st","ROCStories-2nd","ROC"
"A man in an orange red shirt is viewing two monitors on a desk that also has his foot and a Staples Easy button on it .","The button is pressed .","4","SNLI-train","AGCI-WK","AGCI"
"There 's a silhouette of a man at the beach kicking his leg in the air , while the sun is setting before him .","The silhouette etches onto a surface .","3","SNLI-train","AGCI-WK","AGCI"
"A man steps out of a blue porta potty .","The potty is fiddled .","2","SNLI-train","AGCI-WK","AGCI"
"people making strawberries drink on a hot day .","A person tastes the strawberries .","4","SNLI-train","AGCI-WK","AGCI"
"Three skaters appear to be reducing wind resistance to gain speed .","Rescuers scramble to understand the resistance .","1","SNLI-train","AGCI-WK","AGCI"
"Gina went to the store and got ice cream for herself","The cream is heated .","2","ROCStories","AGCI-WK","AGCI"
"Two men are working to fix up an old shed .","The shed is demolished .","2","SNLI-train","AGCI-WK","AGCI"
"A man is smoking a cigarette and holding a honeycomb.","a man smokes and smokes .","5","SNLI-train","AGCI-NN","AGCI"
"Determined to capture the essence of this landscape before sunset .","The essence is a toiletry .","1","SNLI-train","AGCI-WK","AGCI"
"Three construction workers stand over a job site wearing ragged and tattered clothing while a man and woman pass behind them and a large pill of dirt and debris sit in front.","three workers are standing near a construction project .","5","SNLI-train","AGCI-NN","AGCI"
"Children playing on a roundabout .","Police defuse the roundabout .","1","SNLI-train","AGCI-WK","AGCI"
"Two men one in a white shirt one in a black shirt doing research on a laptop computer.","two men are sitting on a computer .","3","SNLI-train","AGCI-NN","AGCI"
"A black man is dunking a basketball while another man jostles him on the court .","The basketball is a court game .","4","SNLI-train","AGCI-WK","AGCI"
"Dan went spelunking into a cave with some friends","A person uses to live in the cave .","2","ROCStories","AGCI-WK","AGCI"
"A group of women dressed for roller derby are standing and sitting in a group .","The derby is a hat .","1","SNLI-train","AGCI-WK","AGCI"
"Bob loved to draw pictures of people he knew","The pictures are a representation .","5","ROCStories","AGCI-WK","AGCI"
"Man in red jacket shielding face from the sun to read .","Police offer the shielding .","2","SNLI-train","AGCI-WK","AGCI"
"A small child is helping with gardening .","The gardening is a farming .","5","SNLI-train","AGCI-WK","AGCI"
"A group of men are re-enacting a battle and have a woman as their prisoner .","A person is treated like the prisoner .","4","SNLI-train","AGCI-WK","AGCI"
"A woman with a yellow shoulder bag gives a man a massage .","The massage is a treatment .","5","SNLI-train","AGCI-WK","AGCI"
"Two young boys watch something while eating popcorn and sitting in beanbag chairs .","The popcorn evolves to a state .","2","SNLI-train","AGCI-WK","AGCI"
"A boy band and no one even matches someone should have sent a memo .","A person leaves the memo .","4","SNLI-train","AGCI-WK","AGCI"
"A woman wearing a ball cap squats down to touch the cracked earth .","The earth is an object .","4","SNLI-test","AGCI-WK","AGCI"
"A person with brown hair wearing a blue shirt and purple bandanna around their neck is chiseling a design into a round , brick pillar .","The round is a time interval .","1","SNLI-test","AGCI-WK","AGCI"
"ON a shantytown lined river , a man in a red shirt paddles a boat while standing .","People live in the shantytown .","4","SNLI-train","AGCI-WK","AGCI"
"The organizers of the fundraiser were chatting at registration .","The organizers die .","2","SNLI-train","AGCI-WK","AGCI"
"A man in his skateboard jumping over a grocery cart as his friends in the back watch .","The jumping is a track and field .","1","SNLI-dev","AGCI-WK","AGCI"
"At a table with an art camp pamphlet on it , a young woman and an older man are painting ceramics under the supervision of a blond woman wearing a name tag .","The ceramics are an instrumentality .","1","SNLI-test","AGCI-WK","AGCI"
"A motorcycle racer takes a tumble while two competitors come racing up quickly from behind.","The motorcycle is in first place with noone nearby.","1","SNLI-train","SNLI-CONTRADICTION","SNLI"
"A funny picture of a white men with his left arm written in green '' Good DNA ! TRY ME '' .","The DNA is a polymer .","5","SNLI-train","AGCI-WK","AGCI"
"A man without a shirt runs through water spraying out of a large silver dome .","A subject is the size of the dome .","2","SNLI-train","AGCI-WK","AGCI"
"A bar crowded with patrons .","The patrons die .","2","SNLI-train","AGCI-WK","AGCI"
"A dog with a choke collar is holding a gauntlet in its mouth .","Men dress in the gauntlet .","2","SNLI-train","AGCI-WK","AGCI"
"an ambulance drives on the street .","The ambulance is a car .","5","SNLI-train","AGCI-WK","AGCI"
"I decided to fry some chicken","The chicken is a domestic fowl .","5","ROCStories","AGCI-WK","AGCI"
"Spectators looking on while court jesters are in the street throwing something up in air.","The crowd is being entertained.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"The student was in a rush to get to school on time.","He brought his lunch to school.","3","COPA-premise","COPA-effect","COPA"
"Five rugby players prepare for a scrum .","Authorities take the scrum .","1","SNLI-train","AGCI-WK","AGCI"
"A climber resting at a campground made on a mountainside .","The campground is shorted on specifics .","2","SNLI-train","AGCI-WK","AGCI"
"Sandy arrived to work to meet a bouquet of red roses on her desk","Sandy asked the secretary who delivered the flowers.","5","ROCStories-1st","ROCStories-3rd","ROC"
"The black and white dog has a stick in his paws .","A person waves the paws .","2","SNLI-train","AGCI-WK","AGCI"
"A man holding a baby who is petting a pony .","The pony is glass .","1","SNLI-test","AGCI-WK","AGCI"
"A lady in a short pink miniskirt stands alone with her arms crossed .","The miniskirt is a skirt .","5","SNLI-train","AGCI-WK","AGCI"
"Athletes push through the snow during a crosscountry skiing trial .","The trial is an experiment .","2","SNLI-train","AGCI-WK","AGCI"
"A woman and a young girl sharing smiles at a table with a glass of water on it .","A deal stagnates over the sharing .","2","SNLI-train","AGCI-WK","AGCI"
"People sitting down in a busy metropolis.","People sitting in a city.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"Two professional soccer players , one dressed in red top and black shorts , the other in blue top and white shorts , compete for control of ball .","The control is realized .","1","SNLI-train","AGCI-WK","AGCI"
"A skater and his partner perform on ice .","The skater is an athlete .","5","SNLI-train","AGCI-WK","AGCI"
"A man in a baseball cap , shorts , and polo shirt , wearing an ID on a lanyard , sits looking at a rack of clothes .","A person wears the lanyard .","5","SNLI-train","AGCI-WK","AGCI"
"A dark headed woman picking out a green flower from a large bucket full of them .","The dark is a scene .","1","SNLI-test","AGCI-WK","AGCI"
"A group of boys exploring the seaside.","A group of boys play on a mountainside.","1","SNLI-train","SNLI-CONTRADICTION","SNLI"
"Three woman prepare a meal in a kitchen with salmon colored walls and bamboo cabinetry .","The cabinetry is made to match furniture .","3","SNLI-dev","AGCI-WK","AGCI"
"A right-handed person makes corrections and adjustments to a music score .","The corrections are an editing .","3","SNLI-train","AGCI-WK","AGCI"
"Jockey riding a racehorse on a racetrack.","Jocky riding a racehorse.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"A black and white dog in a plaid coat is carrying a very long stick .","The stick explodes on a patio .","2","SNLI-train","AGCI-WK","AGCI"
"An asian woman , stands at a checkout counter , holding money in her hand .","A person carries the counter .","1","SNLI-train","AGCI-WK","AGCI"
"Michael likes to collect rare coins","The coins are returned .","2","ROCStories","AGCI-WK","AGCI"
"A young girl with a sippy cup swings on a swing in a park .","The swing fails to detonate .","2","SNLI-train","AGCI-WK","AGCI"
"A man in a striped shirt explains his proposal to his co-workers.","the audience is a nice spot .","1","SNLI-train","AGCI-NN","AGCI"
"Here is a little girl drinking her soda at what looks like an aquarium while the dolphin swims in the background .","The dolphin is percoid fish .","4","SNLI-dev","AGCI-WK","AGCI"
"A man in overalls helps to raise a wooden stair banister with a pulley system .","A someone pulls the banister .","3","SNLI-train","AGCI-WK","AGCI"
"Five children playing soccer chase after a ball .","The chase is a motion .","5","SNLI-test","AGCI-WK","AGCI"
"A young woman in a colorful wetsuit practices water boarding .","The boarding is a structure .","4","SNLI-train","AGCI-WK","AGCI"
"Two little girls ride an inflatable dinghy down a purple water slide .","Everybody gets on the dinghy .","4","SNLI-dev","AGCI-WK","AGCI"
"Oliver had just brought a pumpkin","He was trying to carry it to his car.","4","ROCStories-1st","ROCStories-2nd","ROC"
"A roomful of women are eating and conversing at a sponsored gathering .","A person talks to the roomful .","2","SNLI-train","AGCI-WK","AGCI"
"A skydiver hangs from the undercarriage of an airplane or some sort of air gliding device.","The skydiver is sleeping in bed","1","SNLI-train","SNLI-CONTRADICTION","SNLI"
"Gale was frustrated by her lack of crayons","She had many nubs but few full sized crayons.","3","ROCStories-1st","ROCStories-2nd","ROC"
"A small girl wearing a pink jacket is riding on a carousel .","The carousel calls a stent .","1","SNLI-dev","AGCI-WK","AGCI"
"A group of young adults are standing on a street in front of a brick wall with a tall wooden gate .","The gate is a movable barrier .","5","SNLI-test","AGCI-WK","AGCI"
"A man making balloon animals for children .","The animals are an organism .","5","SNLI-train","AGCI-WK","AGCI"
"A man is smoking a cigarette and holding a honeycomb .","The honeycomb is a framework .","2","SNLI-train","AGCI-WK","AGCI"
"Tourist wife upset with husband who ca n't makeup his mind .","The mind is a cognition .","2","SNLI-train","AGCI-WK","AGCI"
"An African child attempts a headstand on the front of a boat painted blue and white in water next to a field of crops .","The headstand is accomplished .","3","SNLI-train","AGCI-WK","AGCI"
"A man wearing glasses and a ragged costume is playing a Jaguar electric guitar and singing with the accompaniment of a drummer .","A child has the accompaniment .","1","SNLI-test","AGCI-WK","AGCI"
"A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background .","The scroll is found among scrolls .","2","SNLI-dev","AGCI-WK","AGCI"
"Two comedians performing a routine .","The comedians are a performer .","5","SNLI-train","AGCI-WK","AGCI"
"I taught my dog most of his tricks in one day","Then I taught him to sit up.","3","ROCStories-1st","ROCStories-3rd","ROC"
"A woman in a blue shirt is patting the cheek of a man wearing a black shirt .","The cheek is a disrespect .","1","SNLI-train","AGCI-WK","AGCI"
"A woman with a red hoodie on trying to cross a stream of water shoeless with a covered television .","The television is sealed off .","3","SNLI-train","AGCI-WK","AGCI"
"A skateboarder does a trick on the coping of a bowl .","A day is dedicated the coping .","2","SNLI-train","AGCI-WK","AGCI"
"A person walks down the street wearing a white shroud .","A body is wrapped in the shroud .","5","SNLI-train","AGCI-WK","AGCI"
"A man with a bowtie made out of a dollar and wearing glasses is looking into the camera .","A person receives the dollar .","3","SNLI-train","AGCI-WK","AGCI"
"a man in a white shirt and hat paddling a canoe in a body of water .","Police find the canoe .","2","SNLI-train","AGCI-WK","AGCI"
"an old man sleeping in a wheelchair outside of a building .","A person has to use the wheelchair .","4","SNLI-train","AGCI-WK","AGCI"
"A boy hangs from a t-bar while a man gives him a push .","A line inches toward the t-bar .","1","SNLI-train","AGCI-WK","AGCI"
"Marie had decided to organize a barbecue","A person looks for the barbecue .","5","ROCStories","AGCI-WK","AGCI"
"Doug joined a bowling tournament for fun with friends","A person plays the tournament .","5","ROCStories","AGCI-WK","AGCI"
"Two friends met to exchange christmas gifts","The gifts endanger lives .","2","ROCStories","AGCI-WK","AGCI"
"Sixteen men in blue and green uniforms are standing on a submarine .","The submarine has a diameter .","5","SNLI-train","AGCI-WK","AGCI"
"A boy scout with a red cap is looking through a telescope","The scout sees an advantage .","3","SNLI-test","AGCI-WK","AGCI"
"A male practices BMX bike riding at and man made urban practice field with big lumps of dirt , water and a factory as a back drop .","The lumps are an agglomeration .","3","SNLI-train","AGCI-WK","AGCI"
"A person in an orange jumpsuit with silver reflectors is working underneath a train .","The reflectors are cracked .","2","SNLI-train","AGCI-WK","AGCI"
"This is a toddler walking down a path with footwear that is too big .","Inspectors take the footwear .","2","SNLI-train","AGCI-WK","AGCI"
"I thought my friend was going to die in my arms today","A person lifts the arms .","3","ROCStories","AGCI-WK","AGCI"
"A high school chemistry lab experiments .","The chemistry progresses .","3","SNLI-train","AGCI-WK","AGCI"
"An attractive police lady and a jailbird pose for a photo .","The jailbird is the victim .","2","SNLI-train","AGCI-WK","AGCI"
"A guy surfing the web eating pizza .","The web compels a person .","4","SNLI-train","AGCI-WK","AGCI"
"Four men - two in hats and two with mustaches - sit together by a fountain and large vents .","The vents are a hole .","5","SNLI-train","AGCI-WK","AGCI"
"A woman walking on a sidewalk with a metal piece of her bag creating a glare .","The glare is red .","2","SNLI-train","AGCI-WK","AGCI"
"A man sitting outside of a building reading .","The reading is a datum .","1","SNLI-train","AGCI-WK","AGCI"
"Rachel was in her hallway when she saw a huge spider","The spider disappears .","3","ROCStories","AGCI-WK","AGCI"
"Helicopter and boats doing training on an island.","the instructor is training .","3","SNLI-train","AGCI-NN","AGCI"
"An athletic male scaling a giant rock.","there is a man in this picture","2","SNLI-train","AGCI-NN","AGCI"
"Girl graduating from college with flower necklace on .","A person chooses the college .","3","SNLI-train","AGCI-WK","AGCI"
"An older woman dressed in pink with a black fanny pack is outside with some trees and an interesting architectural design next to her .","A person goes to whip the fanny .","1","SNLI-train","AGCI-WK","AGCI"
"A child sitting on a rock formation .","The formation is overdue .","1","SNLI-train","AGCI-WK","AGCI"
"Ballplayers in blue and white uniforms are on the field playing baseball .","The ballplayers are an athlete .","5","SNLI-train","AGCI-WK","AGCI"
"Male working on a tea pot sitting on the floor of his garage .","A person carries the male .","2","SNLI-train","AGCI-WK","AGCI"
"A young man popping a wheelie on his bicycle while riding down a country road .","Four is nestled in the bicycle .","1","SNLI-train","AGCI-WK","AGCI"
"Three men in black and yellow competitive sports clothing , carrying short field hockey sticks , with a man dressed in bulky goalie gear over his shins and hands .","The shins are a cut .","3","SNLI-train","AGCI-WK","AGCI"
"A person on crutches showing his beliefs on the street .","The beliefs are a content .","1","SNLI-train","AGCI-WK","AGCI"
"I had to give my dog a bath","A person kills the dog .","2","ROCStories","AGCI-WK","AGCI"
"A wolf moves over the snow .","A person is registered as the wolf .","1","SNLI-train","AGCI-WK","AGCI"
"An amputee practicing his discus throw .","The discus throw a medal .","1","SNLI-train","AGCI-WK","AGCI"
"A brunette with her hair in a bun is located near color coded buckets and is wearing a hoodie with a doll embroidered onto the hood .","The doll is a plaything .","5","SNLI-train","AGCI-WK","AGCI"
"This young girl is enjoying the innocence of childhood and warm weather .","A person is sure of the innocence .","3","SNLI-train","AGCI-WK","AGCI"
"Lindsay went to the doctor for stomach pains","The pains make a difference .","2","ROCStories","AGCI-WK","AGCI"
"A young man of color is wearing black cleats with red socks while he kicks a yellow soccer ball around .","The cleats are a fastener .","1","SNLI-train","AGCI-WK","AGCI"
"A brunette female in her early twenties wearing modern , rectangular glasses with black rims , points at some faintly visible scribbling on what looks like either a dry-erase board or a museum display of children 's scribbles .","The scribbles are a handwriting .","5","SNLI-train","AGCI-WK","AGCI"
"A young man and woman lay on a bed , the woman makes a goofy face .","A person hears the lay .","1","SNLI-dev","AGCI-WK","AGCI"
"Jane was shocked to see her daughter 's nose bleeding again","The last nosebleed lasted 20 traumatic minutes.","3","ROCStories-1st","ROCStories-2nd","ROC"
"A man wearing sandals is sitting on the stoop .","A person wants to wear the sandals .","4","SNLI-train","AGCI-WK","AGCI"
"Two business executives decided to streamline their company","First, they tried to rightshore eyeballs.","0","ROCStories-1st","ROCStories-2nd","ROC"
"A young boy in a red shirt and ball cap is participating in an Easter Egg hunt and has found numerous eggs all in one area that he 's picking up .","The hunt is conducted .","5","SNLI-train","AGCI-WK","AGCI"
"A girl is upside-down on a trampoline and you can see her navel .","The navel is covered by a headline .","1","SNLI-train","AGCI-WK","AGCI"
"The politician's argument was considered absurd.","He lost the support of voters.","4","COPA-premise","COPA-effect","COPA"
"A man wearing a blue coat with yellow stripes is sitting in an airplane that is taking off .","The airplane fires a missile .","2","SNLI-train","AGCI-WK","AGCI"
"A woman prepares ingredients for a bowl of soup .","The ingredients cross a mind .","4","SNLI-dev","AGCI-WK","AGCI"
"Scuba divers prepare to start their dive .","The divers are a gaviiform seabird .","1","SNLI-train","AGCI-WK","AGCI"
"The man slides in the sand while holding on to his hang glider .","The glider disconnects after a collision .","3","SNLI-train","AGCI-WK","AGCI"
"Gymnast does a flip on blue flooring .","The flooring is a horizontal surface .","5","SNLI-dev","AGCI-WK","AGCI"
"A woman in a conical hat works at a narrow loom .","The loom is broken .","2","SNLI-train","AGCI-WK","AGCI"
"An elderly saxophonist performing at an outdoor event .","The saxophonist is a musician .","5","SNLI-dev","AGCI-WK","AGCI"
"Jen loved to stay informed by reading the news","She liked the news so much, that she started a current events blog.","4","ROCStories-1st","ROCStories-3rd","ROC"
"The man takes pride in his craft as he concentrates on his carving .","The pride is reprehensible .","1","SNLI-train","AGCI-WK","AGCI"
"A dark-haired drummer is playing his set with enthusiasm .","The enthusiasm is liveliness .","5","SNLI-dev","AGCI-WK","AGCI"
"A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror .","The tote leaves in a language .","1","SNLI-test","AGCI-WK","AGCI"
"An older woman dressed in pink with a black fanny pack is outside with some trees and an interesting architectural design next to her .","The fanny dies .","1","SNLI-train","AGCI-WK","AGCI"
"A man with two small boys making a purchase from a woman .","The purchase is an acquisition .","5","SNLI-test","AGCI-WK","AGCI"
"Two young girls wearing blue and turquoise dresses and bonnets are walking beside a tree .","A person puts on the bonnets .","5","SNLI-train","AGCI-WK","AGCI"
"Men playing basketball , the guy with the ball is attempting a layup .","A person misses the layup .","3","SNLI-test","AGCI-WK","AGCI"
"A man with a mustache and glasses in a red jacket stands in an open doorway at the bottom of some stairs , holding his keys .","A person cordon off the keys .","1","SNLI-train","AGCI-WK","AGCI"
"A small , pale bird bends down to examine a crumb .","A company leaves the crumb .","2","SNLI-test","AGCI-WK","AGCI"
"Gina loves pork chops","The chops are a physical phenomenon .","1","ROCStories","AGCI-WK","AGCI"
"A baby with a pacifier saying I love you in sign language .","The pacifier is a mediator .","1","SNLI-train","AGCI-WK","AGCI"
"A woman is using clothespins to hang up laundry outside on a laundry line .","A person uses the clothespins .","5","SNLI-dev","AGCI-WK","AGCI"
"Two Mexican guys standing on outskirts of a field , one has a machete knife and the other has cigarette in his mouth .","A person enters the outskirts .","4","SNLI-train","AGCI-WK","AGCI"
"A man dressed as a colonist speaks to a crowd in a cloudy town .","The colonist is killed .","2","SNLI-train","AGCI-WK","AGCI"
"A young man of color is wearing black cleats with red socks while he kicks a yellow soccer ball around .","A person sets up the cleats .","3","SNLI-train","AGCI-WK","AGCI"
"A woman wearing a striped wrap is bent over in a cornfield while looking at the camera .","The wrap is a cloak .","4","SNLI-test","AGCI-WK","AGCI"
"A man is standing in the middle of a crowded street advertising a sign about God 's long suffering .","The suffering persists .","3","SNLI-train","AGCI-WK","AGCI"
"I set the paper towel on the spill.","The spill left a sticky residue.","5","COPA-premise","COPA-effect","COPA"
"A young boy watching with great interest, two people using a saw to cut some metal.","Two people are using a saw.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"A young gymnast looks back at the audience , trying to catch a glimpse of her proud parents before starting her performance .","The glimpse is a view .","5","SNLI-test","AGCI-WK","AGCI"
"Two children eating food .","The food is a substance .","5","SNLI-train","AGCI-WK","AGCI"
"The terminal is nearly empty, only a few people are there getting to their destination.","The terminal is packed and busy.","1","SNLI-train","SNLI-CONTRADICTION","SNLI"
"Two ladies hiding behind their cotton candy , and smiling on the sidewalk .","A person lives without the candy .","3","SNLI-test","AGCI-WK","AGCI"
"Sharon needed a new driver 's license in another state","A person holds the license .","4","ROCStories","AGCI-WK","AGCI"
"The runner sensed his competitor gaining on him.","He sped up his pace.","4","COPA-premise","COPA-effect","COPA"
"A number of people holding black trash bags walk along a beachfront including several young boys wearing royal blue t-shirts .","The beachfront is emptied .","3","SNLI-train","AGCI-WK","AGCI"
"A man is flexing his biceps while standing on a rooftop with multiple chimneys in the background .","The biceps are a skeletal muscle .","5","SNLI-dev","AGCI-WK","AGCI"
"A sailor steers a sailboat through a turn.","there is a jeep in the ravine .","2","SNLI-train","AGCI-NN","AGCI"
"A squirrel stands on its hind legs in the grass at the edge of a road .","The squirrel is a rodent .","5","SNLI-test","AGCI-WK","AGCI"
"A man in a wetsuit , with scuba gear on his back , leans over on a rocky plateau .","A pocket focuses on the plateau .","1","SNLI-train","AGCI-WK","AGCI"
"A teacher assists a student in a computer lab .","The teacher is an educator .","5","SNLI-train","AGCI-WK","AGCI"
"Bob got a Rubik 's cube for Christmas","An administration is viewed through the cube .","1","ROCStories","AGCI-WK","AGCI"
"Bill 's sister recently gave birth and - he wanted to give a new toy","A person never play with the toy .","1","ROCStories","AGCI-WK","AGCI"
"A little boy wearing a blue stiped shirt has a party hat on his head and is playing in a puddle .","The puddle is cleaned .","3","SNLI-dev","AGCI-WK","AGCI"
"A trainer runs next to his dog as it jumps through multiple hoops .","The trainer dies .","2","SNLI-dev","AGCI-WK","AGCI"
"The phone vibrated violently next to Matt","A person carries the phone .","4","ROCStories","AGCI-WK","AGCI"
"Three women enjoying a balloon joyride.","Three women are taking a tour of the city by means of a hot air balloon.","3","SNLI-train","SNLI-NEUTRAL","SNLI"
"A woman wearing a black hat grinds flour using two stones .","A grit ends up in the flour .","2","SNLI-train","AGCI-WK","AGCI"
